mot,definition
Mananotena," p. t.: Olona miahy tena irery, olona tsy manambady. ? h t: Vehivavy maty vady: Ampio ny kamboty sy ny mananotena."
Mananta," (hanta) mt.p. (manantà): Mampfhanta, manarana, tsy mahavely vava am-boa ny..., rainazy amin'ny...: Loza raha hananta an-janany io uehivavy io ka naditra aoka izany ilay izy."
Manantatra," (santatra) mt.p. (manantara): Manomboka (hanao zavatra). ? Manandrana mihinana ny voalohambokatra"
Manantely," (tantely) mt. s.: Mandeha mitady na miremby tantely."
Manantena," (tena, antena) mt. p. (manantenà): Matoky fa hahazo: Manantena ny laniira ny kristianina. / Manantena aho fa raha vao tonga ianao dia hanoratra ? Manampo, mikasa: Nanantena ny handeha aho, nefasendra sampona ka tsy lasa ? Miandry: Manantena anay izy rahampitso hiara hisakafo aminy."
Mananteraka," Jer. Maninteraka."
Manantitrantitra," (an titra) mt. p. (manantitrantera): Man amafy, manizingizina: Tsy vizana ny manantitra aminareo ny maha-tsara ny asa aho."
Manantona," (hantona) mt.p. (manantiina): Mamp ikirazoraz o, mampikiraviravy: Manan tc^ a fanaovan-jiro."
Manantsasaka," (antsasaka) mt p.: Mamela hipetraka elaela mba hamorivory, hiketriketrika"
Manantsika," (hantsika) mt.p. (manantsiha): Mampibaraingo, mamoritra ho tahaka ny andohalambo, mamokoka: Vao nisy nanantsika ity rotsakazo it? fa nahitsy izy tao."
Manantsody," (antsody) manantsodia) mt. p.: Mamindra ny kofehin-dandy amin'ny volotara na famahanan-tenona,"
Mananty," (tanty) mt.p. (manantaza): Miandry zavatra hianjera ka mandray in zavatra io amin'ny tanana valut-na: Tsy mahay mananty baolina ialahy. ? h,o.: Mangataka: Mananty an-tanan-droa aminao, Tompoko."
Manao," (tao) mt.p. (manaova): Mamorona zavatra vaovao: 1 Denis Papin no nanao ny masinina mandeha amin'ny herin'ny etona. ? Mahary, mampisy ny tsy misy: Andriamanitra no nanao izao tontolo izao. ? Manamboatra, manangana, mandrafitra: Nanao trano any ambanivohitra izahay. / Manao iataba tra ? Mikarakara sy mahavita, manatanteraka asa iray: Aoka samy hanao ny adidiny. / Tsy hanao izany tetika amporisihinao izany aho na homenao vola be aza ? Miteny, milaza: Dia hoy Andrianampoinimerina nanao hoe: ""Ny ranomasina no valampariako. ? Milatsaka, mirotsaka amin'ny raharahairay: Nanao dokotera ny zokiko. * Mihevitra: Manao ahy ho badolahy manko ianao. ? Mikasa, mite tika: Nanao handeha rahariva izy. ? Mtondra (akanjo, fitafiana na haingo) eny amin'ny tena: Tonga nitady anao teo ilay olona manao solomaso mainty iny. ?"
Manapaingo," (paingo)  Managadra."
Manapaingotra," (paingotra) mt. p. (manapaingora): Mitana amin'ny paingotra."
Manapaka," (tapaka) mt p. (manapàha): Mandidy zavatra amin-java-maranitra na amin' ny fomba hafa ka tarangana mizara roa misaraka ilay zavatra: Nisy nanapaka na pensiliko. ? Mampiato, mampijanona: Aza misy manapaka ny teniko. ? Mandidy: Iza no afaka hanapaka ny amin' ny aiko sy ny fananako? ? Tsy tonga miasa na mianatra: Tsy mbola nanapaka io mpiasa io hatramin'ny nidirany."
Manapararàtra," (pararatra) mt. p. (manapararata): Manidina rano (toy ny amin'ny alalan' ny fantsona); manidina voan-javatra (toy ny avy ao anaty lasaka misy loaka)."
Manapararetra," (pararetra) mt. p. (manaparareta): Mampangovitra izaitsizy."
Manaparasaka,"(parasaka) mt. p. (manaparasaha): Manaparitaka, manely; mampiseho miharihary tsy misy miafina."
Manapariaka," (pariaka) mt.p. (manapariaha): Manaparitaka, manahaka."
Manapariritra," (pariritra) mt.p. (manaparirita): Manafantsitsitra."
Manaparitaka," (paritaka) mt.p. (manaparitaha): Manely tsy amin'ny toerana iray; manely tsisy kototony."
Manapasaka," (pasaka) mt p.: Manely, mamakivaky maro."
Manapatrapatraka," (patrapatraka) mt p. (manapatrapatraha): Manjera vongan-javatra vaventiventy na vongan-drano mitete mahalankalana."
Manapatsitsitra," (patsitsitra) mt.p. (m anapatsits ira): Mampifantsitsitra mandefa rano hitifitra sy hiely."
Manapelapelaka," (pelaka) mt p. (manapelapelaha): Mamisaka, mampanify."
Manapelipelika," (pelika) mt.p. (manapelipeleha): Manetsiketsika."
Manapendimpendina," (pendina)  Mandoto amin'ny pentina etsy sy eroa."
Manapendina," (pendina) mt.p. (manapendena): Mandoto, manisy pentina."
Manapepo," (pepo) mt.p. (manapepoa): Manisy lempona, manao izay hahapepo. ? Tsy mamela hitraka, tsy mamela handroso: Tsy tsara ny manapepo tanora vao misondrotra."
Manapindy," (pindy) mt.p. (manapindia): Manapitika amin' ny fanondro, manatsipindy."
Manapiritika," (piritika) mt.p. (manapiritiha): Mampipitika fotaka, mandefa zavatra mi-f antsitsitra."
Manapitika," (pitika) mt.p. (manapitiha): Manala zavatra hiendaka ka mampifantsitsitra azy."
Manapitra," (tapitra) mt.p. (manapera): Mamita: Hanapitra it? asa ity aho vao handeha * Mandany:Hanapitra na herinandro aho vao hiainga. ? (Vola) mandoa hatramin'ny farany: Hanapitra ny volako, hono, izy rahampitso ka ho hitantsika!"
Manapitripitrika," (pitrika) mt. p. (manapitripitriha): Mampirefodrefotra menaka hanendasana."
Manapitsoka," (pitsoka) mt.p. (manapitsoha): Manala (taolana) amin'ny toerany; mamoha varavarana an-terisetra tsy misy fanalahidy."
Manapoaka," (poaka) mt.p. (manap oaha) :Mampirefotra:Manapoaka tafondro. ? Mampiseho ampahibemaso, marnaky: Manapoaka vaouao lehibe."
Manapoizina," (poizina) mt.p. (manapoizina): Manisy poizina: Nisy nanapoizina, hono, ny rano ace' am-pantsakana. Manome poizina: Karohin'ny polisy ny olona nanapoizina azy. ? h.o.: Manimba, mamohehatra: Manapoizina ny tanora ny boky toy itony."
Manapôka," na Mamoka (poka) mt.p. (manapoha, mamoha): Mandona: Namoka ny vatolampy ny lakana ka vaky."
Manapolaka," (polaka) mt.p. (manapolaha): Mampiforitra, mamoritra, mampifaraingo: Manapolaka tehina."
Manapoletaka," (poletaka) mt. p. (monapoletaha): Mampihotsaka, mampikoa; manisy zavatramalemy bodaka."
Manapoly," (poly) mt.p. (manapolesa): Mamoriporitra amin'ny rantsantanana."
Manapondipondy," na Mamondipondy (pondy)mt.p. (manapondiponde, mamondiponde): Mamenjafenja, mamoriporitra zavatra amin'ny tan ana mba halemilemy."
Manaporetika," (poretika) mt p. (manaporeteha): Mampifangaro, mampisafotofoto; manaparitaka."
Manaporetsika," (poretsika) mt. p. (manaporetseha): Mahabe fotaka."
Manaporiatra," (poriatra) mt. p. (manaporiata): Mampandositra, mampandeha haingana, mamoritra zavatra malemy na rano ao anaty tanana."
Manaporitika," (poritika) mt. p. (manaporitiha): Mande-fa zavatra hipitika hatraiza hatraiza."
Manaporitsaka," (poritsaka) mt. p. (manaporitsaha): Marne-la zavatra hikorotsaka, hianjera toy ny tsy voatazona."
Manaporofo," (porofo) mt.p. (manaporofoa): Manamarina."
Manapororoatra," (pororoatra) mt.p. (manapororoata): Mahatonga feno mihoa-pefy; mamp andeha maro miara-be,"
Manaporotsaka," (porotsaka) mt p. (manaporotsaha): Mampitambotsotra; mandrotsaka (vola)."
Manapotsiatra," (potsiatra) mt p. (manapotsiara): Mamoaka rano mifantsitsitra."
Manapý," (py) mt, p, (manapiza): Manakimpikimpy maso; manao baiko amin'ny maso."
Manara," (nara)  Mangatsiaka, mahatsiaro mangatsiaka: Lasa namindro izy fa manara, hono. * F.-p.: Manaran-defona: mahatsiaro kekerin'ny hatsiaka izay toy ny lefona mitsatotsatoka amin'ny tena. / Trano manara: trano kely natao teny ambonin'ny fasan'Andriana sasantsasany fahizay (ny anaovana ireny trano ireny hoe manara dia noho izy hafa amin'ny trano rehetra fa tsy mba nanaovana afo)."
Manaraby," (haraby) mt.p. (manarabia): Maneso; mamazivazy,"
Manaraina," (maraina) mt.s.: Tonga maraina: Rahampitso indray monaraina! ? Mivoaka ny trano na mandeha miasa vao maraina: Miasa manaraina izany izy."
Manaraka," (araka) mt. p. (manaraha): Manjohy: Mitomany hanaraka an-dreniny Ikotokely. ? Manao araka ny..,, mitandrina, manatanteraka: Manaraka ny didin ' Andriamanitra ? Mandeha amin'ny lavan'ny, sisin'ny, moron'ny: Mandehana manaraka ny valamparia, ? Tsy manohitra fa manao araka ny...: Manaraka ny fitongilanan-dratsy. * Momba ny..., miandany amin'ny,..: Manaraka ny fampianaran'i Bouddha. ? Avy aoriana, mandimby: Manarako ny lohataona ny fahauaratra. ? Vokatry ny: Manaraka ny heloka ny sazy. ? Manao tahaka, maka tahaka: Tsarovy fa hanaraka ny hataonao ny zanakao, ? Miady mba hahazo, mitaky amin'ny alalan' ny fitsarana: Tsy misy mahadiso ahy raha manaraka ny anjara lovako aho. * F.-p.: Manara-bava: sady mihira no mitendry zavamaneno. / Manara-bavy: 1) mitoetra any amin'ny ray amandrenin'ny vavy; 2) mety ho entin'ny vavy amin'ny sangany. / Manara-bolana: entimilaza olona fatra-piovaova amin'ny heviny na ny toetrany."
Manarama," Jar. Manakarama."
Manaramody," (mody)  Fanafody manaraka ilay asiany ary mamono azy amin'ny farany."
Manarana," (harana) mt.p. (manaràna): Manao izay tiana, manao fiainana tsy fehezin' ny hafa fa ny sitrapony ihany: Manarana er? amin'ny zava-pisotro Rakoto. ? Mamela ny hafa hanao ny sitrapony; malemy na mora loatra; rainazy: Ny fanjokana tsy anaranako havana, hoy Andrianampoinimerina. * F.-p.: Manaram-batana: manaraka ny filan-dratsin'ny nofo. / Manarempo: manao danin'ny kibo. / Manarana aina: mitsitsy aina. / Manaran-daina: manaraka ny hakamoana. /Manaran-jaza: manaraka haitraitran'ny zaza.   Malemy loatra, moramorainy, mampihanta, rainazy, tsy mahavely vava am-boa."
Manarana,"  Anaram-borona. * Razana koa ny tsirin'ny ro-fia izay anaovana satroka."
Manaranaka," (taranaka) mt.p. sy mt.s,: Mandimby ny toetran'ny...: Manaranaka ny renibeny it? zaxa itg, ? Miampita any amin'ny taranaka: Manaranaka ny aretina sasany."
Manarangarana," (harangarana) mt.p. (manarangaràna): Mijery olona, nefa tsy te ho hi-ta hoe mijery, ka amin'ny hirika na loaka kely ao ambadika no mitily: Tsy fanao ny manarangarana amin'ny hidim-barouarana."
Manararaotra," (hararaotra) mt. s. sy mt, p. (manararaota): Mitombo mihalehibe, mihamafy: Hanararaotra io ferinao io ka tsaboy haingana. ? Mampiasa ny fahavoazan'ny sasany mba hanampiana trotraka izany: Aza manararaotra ny halemen'ny sasany mba hitarihana azy amin'ny ratsy. ? Mamonjy mitady tombony haingana raha misy zava-miseho sao tsy miverina intsony io zavatra io: Monararaota ny hatanorana, rankizy, mba hiasana betsaka fa rehefa antitra tsy afaka intson y. * F.-p,: Manararao-paty:manitatra izaitsizy noho ny fisiana faty.   Mively ny vy dieny mafana, manao kendry tohina, manao tsatoka, mandray vava latsaka"
Manararo," (hararo) mt.p. (manararoa): Mitana, manamp ontsampona, manao izay hahatratra aoriana: Axa manararo ny zanako amin'ny kila- lao ialahy isany sao diso fidirana any am-pianarana izy. 1 Milalao, manadala: Nanararo ny mpandalo tamin'ny hatsikany teo i Rainimbahy."
Manarasara," Mitovy amin'ny Manasarasara."
Manarato," (harato) mt.p. (manaratoa): Maka hazandrano arnin'ny harato."
Manaratra," (haratra) mt. p. (manarata): Mikiky ny volondoha, ny volombava, ny volo amin'ny tena amin'ny hareza."
Manaratsaka," (haratsaka) m t.p.: Man apaka, manintsana amin' ny antsy ny romoromon-javatra; mandrantsana."
Manaratsaraka," Jer. Manasaratsaraka."
Manaratsy," (ratsy) mt.p. (manaratsia): Manao izay haharatsy: Aza manaratsy tarehy toy izao ianao. ~ Manao ho ratsy: Tsy mety ny manaratsy ny tsara fa izany no manao hala volo. 1 Manendrikendrika, man oso-potaka, manabanty, manao tsinontsinona, manaboka: Manaratsy ny namany foana Rabe..  M. h, : Manebaka, manama vo, mamasoka, manabanty, manazimba, manaboka, manafoka, maniny, manakiana, manakizaka, manizakiza, manambany, manatsizarizary, manao ambanin-javatra, manao tsinontsinona, manenitra, mamotsifotsy, maniratsira, manevateva, mamingavinga, manitsakitsaka, manosihosy."
Manarendrina," (harendrina) mt. s.: Enti-milaza ny molaly miraikitra amin'ny vody vilany ka mirehitra."
Manarina," (arina) mt.p. (manarena): Mametraka amin'ny toetra mahitsy izay nandry na lavo: Iza no nanarina ilay zazalahy lavo tao? ~ h.o.: Ny sakaizany no nanarina azy tamin'ilay fahavoazany tao dasa saika namoizany fo. ~ Mamerina amin'ny toetrany tsara teo aloha: Tsy mety kivy izy fa nanarina ny fanonany rava -  F.-p.: Manarina ady: miverina miady mba hamaly faty."
Manariva," (hariva) mt. s, na mt. p.: Miasa, mijanona hatramin' ny hariva: Hanariva aho androany satria tsy vita ny tua. ~ Miandry ny hahariva: Sarotra ny manariva ny andro raha tsy manan-katao. ? Mahatonga ho tratra hariva, ho tratra aoriana: Tsy ta hanariva anao aho, fa 'ndeha aloha mody. * Fiten.: Ny andraso andraso manariva ny mody: ny hataka andro lava, ny fampiandrasana ary ny fiolakolahana dia mahatonga ho tratra hariva nony hody (tokony hotsorina izay fanapahankevitra raisina)."
Manaroka," (taroka) mt.s.: Mamoaka tsimoka vaventy."
Manarona," (sarona) mt p. (manar6na): Manafina: Misy rahona manarona ny masoandro. 1 Mandrakotra: Manarona harona ? h.o.: Manarona ny hadisoan'ny sakaizany izy. ~ Manodidina: Nanarona ny fahavalo ny miaramilantsika -  F.-p.: Manaron-kenatra: manafina ny fananan 'ny maty tsy ho hitan'ny mpandova azy avokoa. / Manaron-kevitra: manarona ny trosa na ny zavatra hafa mba hanadisoana ny isam-bola tenamarina. / Manarona olona: mifetsy amim-p ah akin g an a.   Mandrakotra, manakona."
Manarotika," (rotika) mt.p. (manaroteha): Manasaritaka, manakorontana."
Manary," (ary) mt.p. (manaria): Manipy zavatra any amin'ny toerana tsy hahitana azy intsony: Manary fako. 1 Tsy miraharaha zavatra, hany ka verivery fotsiny ilay izy:Betsaka ny ankizy no manarinary ny bokiny eny rehetrarehetra eny. 1 Milaza ampahibemaso fa tsy ho isan-jaza mpandova intsony: Efa nanary azy ela be ny rainy. -  F.-p.: Manary dia: manao izay tsy hifantohan'ny saina aman'eritreritra amin'ny zavatra iray. / Manary faty,: manipy faty ho verivery fotsiny fa tsy mandevina azy. / Manary kely: mahafoy zavatra kely mba hahazoana soa bebe. / Manary rano: 1) entimilaza toerana somary solampilampy atao koa hoe mandry soroka; 2) mivalandrano. / Manary andro:manao izay hahalasa ny andro amin'ny zavatra tsy dia misy antony firy. / Manary zaza: milaza ampahibemaso fa tsy handova ny tena ilay zaza."
Manasa," (asa) mt.p. (manasà): Mandranitra, mandrangitra, mampifilofilo: Ndeha mana-sa ity antsy ity ianao, ry Koto, fa dombo velona izy izany. -  Manasa kibo: misotro fampivalanana. / Manasa lela: mifamaly mafy aminkatezerana. / Manasa nify: miomana amin'ny sakafo be, amin'ny fanasana. / Manasa uangy: miady mifampahay vava aoka izany."
Manasa," (sasa) mt. p. (manasà): Manala loto amin'ny rano: Lasa nanasa lamba er? amorona i zoky.   Manadio, manoza, manontsana, mifantsana, manakobana, manala loto, manala pentina, manala tseroka, mamotsy, manorana."
Manasa," (osa) mt.p. (manasà): Miantso hanatrika lanonana na hisakafo, miangavy ho tonga maneho fihavanana na fifanajana: Nanasa antsika ry zareo ato avaratra amin'ny mariazin-janany."
Manasabaka," (sabaka) mt.p. (manasabakà): Mampihataka ny tongotra roa."
Manasabilaka," (sabilaka)  Mandroritra hatraiza hatraiza (mitovy amin'ny manasobilaka)."
Manasabodika," (sabodika) mt. p. (manasabodeha): Mampifangaro na mampifandiso ny teny na ny zavatra atao, manasari taka, m ano din ko din a amin'ny teny na fanaovanjavatra mba hampifamadika amin'izay tena izy sy mari-na."
Manasabotrika," (sabotrika) mt. p. (manasabotre ha) : Mambomba, mandrotsirotsy."
Manasadika," (sadika) mt.p. (manasadikà): Manao (zavatra) mihodidina ny valahana toy ny salaka."
Manasafelika," (safelika) mt.p. (manasafeleha): Manolana, manao izay hihodidinan'ny zavatra iray fa tsy handehanany mahitsy mivantana."
Manasafofoka," (fofoka) mt.p. (manasafofoha): Manjera."
Manasafontina," (safontina) mt. p. (manasafontena): Mampisafotofoto, mampisavorovoro, mampisaritaka."
Manasafotofoto," (fotofoto) mt. p. (manasafotofotoa): Manakorontana sy mampifangaroharo: Iza no nanasafotofoto ity kofehy ity toy izao?   Mampisafotofoto, manafotofoto, mampisavorovoro, manasavorovoro, mamorovoro, manasaritaka, manakorokoro, m ampikoron ta-na, manakorontana, mampifangaro."
Manasafy," (safy) mt.p. (manasafia): Manampy, mameno (lamba) amin'ny akanjo atao sosony."
Manasaha," (asaha)  Ma-n omp a."
Manasahonaka," (honaka)  Mamonto."
Manasaika," (saika) Mt P. (manasaiha): Manasoka (zavatra) ao anaty rano mba hakana rano."
Manasaka," (sasaka)  Mizara roa mitovy tsara: Tsy haiko ny manasaka ity uoatavo ity. ~ Eo am-povoany tsara: Manasaka tsara ny tanàna ny tsena."
Manasalobona," (salobona) mt. p.: Manarona olona na zavatra amin'ny lamba."
Manasalotra," (salotra)  Manantona (zavatra, lamba) eny am-bozona."
Manasaly," Manasalisaly (saly) mt.p. (manasalisolia, manasalia): Mametraka zavatra (hena...) vetivety eo ambony a-fo mba hahazoana mihinana azy; manamaina hena na hazandrano amin'ny setroka."
Manasamaka," (samaka) mt.P. (manasamaha): Mamaky, manataka, mampiveraka hisaraka roa."
Manasamboady," (samboady) mt.p. (manasamboadia): Mametraka samboady eo ambony soroka."
Manasamboaravoara," (samboaravoara)  Mampitroatra, mampitambolimbolina. ~ lao.: Mahatezitra, mahatonga ho romotry ny hatezerana."
Manasamboritra," (samboritra) mt.p. (manasam borita) : Manodidina lamba ny valahana mafy."
Manasampina,"(sampina) mt. p. (manasampina): Manipy ny tendron'ny lamba iray ho eo ambony soroka."
Manasampotina," (sampotina) mt. p. (manasampotena): Mampisafotofoto, mampisaritaka, mampisangodingo di-na, mampitambolimbolina."
Manasampy," (sampy) mip. (manasampaza): Mametraka zavatra hisavily eny am-bozona."
Manasanasana," (sanasana) mt.p. (manasanasanà): Manokatra be (vava)."
Manasangazona," (sangazona) cit. p. : Mamikitra amin'izay voaray."
Manasangerina," (sangerina) mt. p.: Mampandalo dia mamerina indray. ~ Mangorona, mamorimborina (1amba) manodidina ny tena."
Manasangodina," (sangodina) m t p. (manasangodina): Mampihodidina."
Manasaoka," (saoka) mt.p. (manasaoha): Manampy tapadamba amin'ny akanjo mba hanalalahana azy amin'ny faritra sasantsasany: I neny no nanasaoka ny lobako teo amin'ny sorony fa tery loatra."
Manasara," (sara) mip. (manasarà): Man doasarany. Manasaraka (saraka) mip. (manasaraha): Mamaritra ny fisarahana: Ity renirano ity no manasaraka ny Fivondronana anankiroa ~ Mampihataka mba tsyhifamely intsony: Ny mpampianatra no nanasaraka ireo mpianotra roa lahy niady."
Manasarangotra," (sarangotra) mt.p. (manasarangota): Manantona, manasingotra (ny tanana na ny tongotra)."
Manasarebaka," (sarebaka) mt.p. (manasarebaha): Mampirefarefa amin'ny tany."
Manasariraka," (sariraka) mt.p. (manasariraha): Manasaritaka, mampisafotofoto."
Manasaritaka," (saritaka) mip. (manasaritaho): Manakorontana, mampisafotofoto."
Manasarotra," (sarotra) mt.p. (manasarôta): Mahatonga ho sarotra aleha: Ny lavadavaka ireny no manasarotra ny laiana mankaty aminareo. ~ Mahatonga ho manahirana : Monasarotra ny fanaovan-trano ny ranonorana. ~ Mahatonga ho lozabe, kitokitoina: Ny ditran'ny mpianatra no nanasarotra an-dRamose. ~ Mahatonga ho lafo: Ny havandra no nanasarotra ny voaloboka tamin'ity taona"
